File version: 2,HP,EP,SE,Stamina,SellPrice,Effects,Overheal/Pay Effect,OverhealDivisor,Properties,Weird,UseAnim,ItemQuality,IsAttackItem,DamageType,DamageProperties,BaseDamage,Chapter,Recipeorbase
Carrot,6,,,,6,,,,,FALSE,Eat,Base,FALSE,,,,0,FALSE
BerrySyrup,,6,,,7,,,,,FALSE,Drink,Base,FALSE,,,,0,FALSE
SourBerry,,,,,5,AttackUp:1/3,,,NoOverworld,FALSE,Eat,Base,FALSE,,,,0,FALSE
SweetBerry,,,,,5,DefenseUp:1/3,,,NoOverworld,FALSE,Eat,Base,FALSE,,,,0,FALSE
LightSeed,,,,,9,,,,NoOverworld,FALSE,None,Base,TRUE,Light,,3,0,FALSE
MiracleDrop,5,,,,11,,,,Revive,FALSE,Eat,Base,FALSE,,,,0,FALSE
Mistake,1,1,,,1,Poison:1/3,,,,FALSE,EatBad,Mistake,FALSE,,,,0,TRUE
BigMistake,-10,-10,,,0,Poison:1/6,,,,FALSE,EatBad,Mistake,FALSE,,,,0,TRUE
CarrotSalad,9,,,,6,,,,,FALSE,Eat,GridFillRecipe,FALSE,,,,0,TRUE
BerryCandy,,9,,,11,,EnduranceShort,100,,FALSE,Eat,GridFillRecipe,FALSE,,,,0,TRUE
BerryCarrot,6,6,,,13,,,,,FALSE,Eat,GridFillRecipe,FALSE,,,,0,TRUE
RoastedNut,0,10,,,9,,,,,FALSE,Eat,Recipe,FALSE,,,,0,TRUE
SourJam,,,,,5,AttackUp:3/1,,,NoOverworld,FALSE,Eat,Recipe,FALSE,,,,0,TRUE
SweetNut,,,,,13,DefenseUp:3/1,,,NoOverworld,FALSE,Eat,Recipe,FALSE,,,,0,TRUE
PowerJam,,,,,9,AttackUp:1/2|DefenseUp:1/2,,,NoOverworld,FALSE,Eat,Recipe,FALSE,,,,0,TRUE
BronzeCarrot,12,,,,11,,,,,FALSE,Eat,Base,FALSE,,,,1,FALSE
FlowerSyrup,,12,,,13,,,,,FALSE,Drink,Base,FALSE,,,,1,FALSE
Apple,3,2,,,9,EnduranceUp:1/2,,,,FALSE,Eat,Base,FALSE,,,,1,FALSE
BitterBean,,,,,15,Dizzy:1/2|Hustle:1/1,,,NoOverworld,FALSE,Eat,Base,FALSE,,,,1,FALSE
RockNut,,,,,7,Dizzy:1/3,,,NoOverworld,FALSE,Eat,Base,TRUE,Earth,,4,1,FALSE
LivelyLeaf,,5,,3,3,Absorb:3/X,,,,FALSE,Eat,Base,FALSE,,,,1,FALSE
ClearStrawberry,,,,,6,,,,Cure|NoOverworld,TRUE,Eat,Base,FALSE,,,,1,FALSE
BronzeSalad,18,,,,11,,,,,FALSE,Eat,GridFillRecipe,FALSE,,,,1,TRUE
FlowerCandy,,18,,,17,,Stamina,2,,FALSE,Eat,GridFillRecipe,FALSE,,,,1,TRUE
BerryBronze,12,6,,,17,,,,,FALSE,Eat,GridFillRecipe,FALSE,,,,1,TRUE
FlowerCarrot,6,12,,,18,,,,,FALSE,Eat,GridFillRecipe,FALSE,,,,1,TRUE
FlowerBronze,12,12,,,23,,,,,FALSE,Eat,GridFillRecipe,FALSE,,,,1,TRUE
BitterCoffee,,,,,15,Dizzy:1/2|Focus:1/X|Hustle:1/1,,,NoOverworld,FALSE,DrinkBad,Recipe,FALSE,,,,1,TRUE
AppleJuice,,8,,,9,EnduranceUp:1/2,,,,FALSE,Drink,Recipe,FALSE,,,,1,TRUE
HealthySalad,9,,,5,9,Absorb:3/X,,,,FALSE,Eat,Recipe,FALSE,,,,1,TRUE
Lemon,2,7,,,10,Focus:2/X,,,,FALSE,EatBad,Base,FALSE,,,,2,FALSE
Flour,3,3,,,7,,,,TargetAll,FALSE,Eat,Base,FALSE,,,,2,FALSE
Dragonfruit,5,5,,,10,Focus:2/X|Absorb:2/X,,,,FALSE,Eat,Base,FALSE,,,,2,FALSE
MistWater,,,,,6,,,,"Cure,TargetAll",FALSE,Drink,Base,FALSE,,,,2,FALSE
StaticThorn,,,,,6,Paralyze:1/3,,,NoOverworld,FALSE,None,Base,TRUE,Air,,4,2,FALSE
WarpedLeaf,,,,,9,,,,,TRUE,Eat,Base,FALSE,,,,2,FALSE
CarrotCake,4,4,,,13,,,,TargetAll,FALSE,Eat,GridFillRecipe,FALSE,,,,2,TRUE
BronzeCake,8,8,,,17,,,,TargetAll,FALSE,Eat,GridFillRecipe,FALSE,,,,2,TRUE
DryBread,10,,,,7,,,,,FALSE,Eat,Recipe,FALSE,,,,2,TRUE
MiracleNeedle,5,,,,16,,,,Revive|Stack,FALSE,None,Recipe,FALSE,,,,2,TRUE
RabbitBun,6,6,,,10,ItemBoost:2/X,,,,FALSE,Eat,Recipe,FALSE,,,,2,TRUE
ApplePie,12,8,,,15,EnduranceUp:1/3,,,,FALSE,Eat,Recipe,FALSE,,,,2,TRUE
JuiceMix,,17,,6,18,Burst:3/X|EnduranceUp:1/3,,,,FALSE,Drink,Recipe,FALSE,,,,2,TRUE
