Output,Chapter,ItemQuality,Item1,Item2
Mistake,0,Mistake,,
BigMistake,0,Mistake,,
CarrotSalad,0,GridFillRecipe,Carrot,
BerryCandy,0,GridFillRecipe,BerrySyrup,SweetBerry
BerryCarrot,0,GridFillRecipe,BerrySyrup,Carrot
RoastedNut,0,Recipe,LightSeed,
RoastedNut,0,Recipe,RockNut,
SourJam,0,Recipe,SourBerry,
SweetNut,0,Recipe,LightSeed,SweetBerry
PowerJam,0,Recipe,SourBerry,SweetBerry
BronzeSalad,1,GridFillRecipe,BronzeCarrot,
FlowerCandy,1,GridFillRecipe,FlowerSyrup,SweetBerry
BerryBronze,1,GridFillRecipe,BerrySyrup,BronzeCarrot
FlowerCarrot,1,GridFillRecipe,Carrot,FlowerSyrup
FlowerBronze,1,GridFillRecipe,BronzeCarrot,FlowerSyrup
BitterCoffee,1,Recipe,BitterBean,
AppleJuice,1,Recipe,Apple,
HealthySalad,1,Recipe,Carrot,LivelyLeaf
HealthySalad,1,Recipe,BronzeCarrot,LivelyLeaf
HealthySalad,1,Recipe,SilverCarrot,LivelyLeaf
HealthySalad,1,Recipe,GoldenCarrot,LivelyLeaf
HealthySalad,1,Recipe,Carrot,CrystalLeaf
HealthySalad,1,Recipe,BronzeCarrot,CrystalLeaf
HealthySalad,1,Recipe,SilverCarrot,CrystalLeaf
HealthySalad,1,Recipe,GoldenCarrot,CrystalLeaf
CarrotCake,2,GridFillRecipe,Carrot,Flour
BronzeCake,2,GridFillRecipe,BronzeCarrot,Flour
DryBread,2,Recipe,Flour,
MiracleNeedle,2,Recipe,MiracleDrop,StaticThorn
RabbitBun,2,Recipe,DryBread,LivelyLeaf
RabbitBun,2,Recipe,DryBread,WarpedLeaf
ApplePie,2,Recipe,Apple,Flour
JuiceMix,2,Recipe,Apple,Lemon
JuiceMix,2,Recipe,Apple,Dragonfruit
JuiceMix,2,Recipe,ClearStrawberry,Apple
JuiceMix,2,Recipe,ClearStrawberry,Lemon
LemonCandy,2,Recipe,Flour,Lemon
WarpedCookie,2,Recipe,Flour,WarpedLeaf
WarpedTea,2,Recipe,WarpedLeaf,
WarpedTea,2,Recipe,WarpedLeaf,MistWater
ThornBundle,2,Recipe,StaticThorn,
Lemonade,2,Recipe,Lemon,
BerryCarrotBunch,3,Recipe,BerrySyrup,CarrotBunch
CarrotPudding,3,GridFillRecipe,Carrot,CoconutCream
BronzePudding,3,GridFillRecipe,BronzeCarrot,CoconutCream
CoconutMilk,3,Base,Coconut,
