Index (unused),Name,Description,Hard Description (Note: appended onto the normal description in an enclosing Red color tag and after a newline)
Unknown,???,????????,????????
Bite,Bite,(Targets Any Enemy) Bite a single target to deal normal damage.,
Swoop,Swoop,(Targets Any Enemy) Swoop down and hit a single target to deal normal damage.,
FrontBite,Bite,(Targets Front) Bite a single target to deal normal damage.,
BiteThenFly,Bite,(Targets Any Enemy) Bite a single target to deal normal damage and then start flying.,
Slash,Slash,(Targets Any Enemy) Slash a single target to deal normal damage.,
DualSlash,Dual Slash,(Targets Any Enemy) Slash a single target twice to deal normal damage.,
DoubleSwoop,Double Swoop,(Targets Any Enemy) Swoop down and hit a single target twice to deal normal damage.,
TripleSwoop,Triple Swoop,(Targets Any Enemy) Swoop down and hit a single target three times to deal normal damage.,
Hard_CounterEnrage,(Hard) Counter - Enrage,"<color,red>(Only on higher difficulties)</color> (Targets Self) Get Focus after being attacked.",
Hard_CounterRush,(Hard) Counter - Rush,"<color,red>(Only on higher difficulties)</color> (Targets Attacker) Strike back with a single normal hit after being attacked.",
Hard_CounterHarden,(Hard) Counter - Harden,"<color,red>(Only on higher difficulties)</color> (Targets Self) Get Absorb after being attacked.",
Hard_CounterRecover,(Hard) Counter - Recover,"<color,red>(Only on higher difficulties)</color> (Targets Self) Heal yourself for a small amount after being attacked.",
Hard_CounterReinforce,(Hard) Counter - Reinforce,"<color,red>(Only on higher difficulties)</color> (Targets Self) Get Focus and Absorb after being attacked.",
Hard_CounterRally,(Hard) Counter - Rally,"<color,red>(Only on higher difficulties)</color> (Targets All Allies) Give Focus to all allies after being attacked.",
Hard_CounterRoar,(Hard) Counter - Roar,"<color,red>(Only on higher difficulties)</color> (Targets All Enemies) Apply Sunder to all targets.",
Hard_CounterHide,(Hard) Counter - Hide,"<color,red>(Only on higher difficulties)</color> (Targets Self) Become Ethereal for 1 turn after being attacked.",
Hard_CounterProtect,(Hard) Counter - Protect,"<color,red>(Only on higher difficulties)</color> (Targets All Allies) Give Absorb to all allies after being attacked.",
Hard_CounterShield,(Hard) Counter - Shield,"<color,red>(Only on higher difficulties)</color> (Targets All Allies) Give Defense Up to all allies after being attacked.",
Hard_CounterMarshall,(Hard) Counter - Marshall,"<color,red>(Only on higher difficulties)</color> (Targets All Allies) Give Attack Up to all allies after being attacked.",
Leafling_Hard_TailWhip,(Hard) Tail Whip,"<color,red>(Only on higher difficulties)</color> Tail whip a single target to deal Earth damage. (Earth damage is 66% stronger if you took damage this turn.)",
Flowerling_Hard_SwoopBloom,(Hard) Swoop Bloom,"<color,red>(Only on higher difficulties)</color> Swoop down and hit a single target. Get some Focus at the end of your turn.",
Sunnybud_BiteFlyHeal,Sweet Bite,"(Targets Any Enemy, Targets Any Ally) Bite a single target then start flying, then heal a single ally.",
Rootling_FrontSlam,Slam,(Targets Any Enemy) Slam down onto a single target.,
Rootling_DoubleSlam,Big Slam,(Targets Any Enemy) Slam down onto all targets.,
Rootling_Dig,Dig,(Targets Self) Dig down and become untargettable for a single turn.,(Higher difficulties: Heal for a small amount of HP and get a small amount of Absorb.)
Rootling_Uproot,Uproot,(Targets Any Enemy) Emerge from the ground and slam down onto all targets.,
SunSapling_FrontSlam,Slam,"(Targets Any Enemy) Slam down onto a single target. Summon a Sunnybud and a Sunflower if there is space. If there is no space, give both of them some Focus.",(Higher difficulties: Allies gain slightly more Focus and some Absorb.)
SunSapling_BigSlam,Big Slam,(Targets Any Enemy) Slam down onto all targets.,
SunSapling_GrowCharge,Growth Charge,"(Targets Self) Absorb solar energy to gain a large amount of Focus. Summon a Sunnybud and a Sunflower if there is space. If there is no space, give both of them some Focus.",(Higher difficulties: Allies gain slightly more Focus and some Absorb.)
SunSapling_Roar,Power Roar,(Targets Any Enemy) Roar powerfully to hit all targets and give all allies some Focus.,(Higher difficulties: User gains some Absorb and heals a small amount.)
Honeybud_SwoopHeal,Sweet Swoop,(Targets Any Enemy) Swoop down and hit a single target and then heal a single ally or all allies for a smaller amount.,
BurrowTrap_PollenBite,Pollen Bite,(Targets Any Enemy) Bite a target and cover them with pollen to inflict Dizzy.,
BurrowTrap_CounterPollenBite,Counter - Pollen Bite,(Targets Attacker) Bite a target and cover them with pollen to inflict Dizzy. Counter still happens even if they are reduced to 0 hp.,(Higher difficulties: Inflicts 2 turns of Dizzy instead of 1.)
Sundew_PoisonToss,Poison Toss,(Targets Any Enemy) Fling a poison droplet at a single target to deal Earth damage and inflict Poison.,
Sundew_CounterPoisonToss,Counter - Poison Toss,(Targets Attacker) Fling a poison droplet at a single target to deal Earth damage and inflict Poison. Counter still happens even if they are reduced to 0 hp.,(Higher difficulties: Inflicts 2 turns of Poison instead of 1.)
Sycamore_ThornToss,Thorn Toss,(Targets Any Enemy) Throw a thorn to deal normal damage to a single target,
Sycamore_Pollenate,Pollenate,(Targets All Enemies) Shoot a cloud of pollen from a flower to deal Earth damage and inflict Dizzy.,(Higher difficulties: Inflicts 1 Defocus.)
Sycamore_FlowerShuriken,Flower Shuriken,(Targets All Enemies) Throw a sharp flower to deal Earth damage to all targets.,(Higher difficulties: Inflicts 1 Defocus.)
Sycamore_Overgrowth,Overgrowth,"(Targets Self) (Activates at or below 2/3 health) Summon a Burrow Trap in front and a Sundew behind the user, heal for 10 HP and raise a Vine Platform to stand on.",
Sycamore_VineStab,Vine Stab,(Targets Any Enemy) Send a vine to deal normal damage to a single target.,
Sycamore_FullBloom,Full Bloom,(Targets All Enemies) Create a large cloud of pollen from a flower to deal Earth damage and inflict Dizzy.,(Higher difficulties: Inflicts 1 Defocus.)
Sycamore_VineField,Vine Field,(Targets All Enemies) Grow many vines in order to deal Earth damage to all targets.,(Higher difficulties: Inflicts 1 Defocus.)
Sycamore_Fall,Reaction - Fall,(Activates when the Vine Platform is destroyed) Fall down and permanently increase the user's defense by 1.,(Higher Difficulties: A Burrow Trap is summoned in front.)
GiantVine_Slam,Slam,(Targets Any Enemy) Slam down onto a single target to deal Normal damage.,
GiantVine_BigSlam,Big Slam,(Targets All Enemies) Slam onto all targets to deal Normal damage.,
GiantVine_Telegraph,Telegraph,(Targets Front Enemy) Prepare to grab an enemy. (Cannot grab if there is only 1 player left alive or not grabbed),
GiantVine_Grab,Grab,(Targets Grab Target) Grab the enemy chosen by Telegraph and hold them until the Giant Vine is destroyed or the character is reduced to 0 hp.,
GiantVine_Constrict,Constrict,(Targets Grabbed Character) Hurt the grabbed character for a moderate amount of Normal damage.,
GiantVine_Throw,Reaction - Throw,(Activates when the Giant Vine or the grabbed character is at 0 hp) Throw the grabbed character to release them.,
