Index,Name,Bio Text,Keru Text,Wilex Text,Luna Text
DebugEntity,Debug Entity,"This text should not appear as the Debug Entity is not supposed to appear in any battles or appear in the Bestiary. This could happen if the game fails to parse a certain EntityID as DebugEntity is the default in the enum (0). Although, you can also see this text by hacking or datamining the game. If you're a hacker or dataminer, then you should probably stop.","This doesn't look right, we should report this as a bug.","Oh, look. The game is broken. Sounds like someone didn't test the game enough for bugs.",I don't know what that is... Maybe something's wrong with the game?
Leafling,Leafling,"A small, common mammal native to the Verdant Forests, although they are also found in the Solar Grove.<line><line>Despite being small, they have a ravenous appetite. Travellers should steer clear of them so the Leaflings don't mistake them for a meal.","Leaflings are pretty weak, so you shouldn't have much trouble with them. Try not to let them chew on you if you can.",Leaflings are really annoying. All they do is chew on everything they see. Good thing they're easy to get rid of.,These cute little rascals love nibbling on everything they see.  Maybe we can keep one? I don't think Wilex would like that though.
Flowerling,Flowerling,"These relatives of Leaflings are known for their ability to fly. The propeller flowers on their heads are quite delicate, so attacking them will render the Flowerling unable to fly for the rest of battle.<line><line>Like regular Leaflings, they are constantly searching for an easy meal, so travellers should be careful around them.","Flowerlings can fly high enough that you need to jump on them. When you hit them, they'll fall down and won't be able to fly back up for the rest of battle.","It's pretty much just a flying Leafling. Once I stomp on it, the flower will break and it won't fly anymore.",I can't get high enough to reach it... Maybe Wilex can jump up to it?
Shrublet,Shrublet,"This variant of the Leafling is covered in rough thorns and has a stronger bite, although it has slightly lower health than regular Leaflings. A layer of thorns on their body makes it dangerous to come into contact with them.<line><line>It is advisable to try to attack them with weapons instead of making contact with them directly, despite how effective direct attacks may be.","Shrublets are covered in thorns, so you shouldn't stomp on them. Stomping will still hurt them, but you'll get hurt too. Make sure you hit them from a distance with your weapon.<next>You should focus on them first, since their bites are somewhat strong.","It's covered in thorns and has a pretty strong bite, so I better get rid of them first. Stomping on them is gonna hurt, but I might not have a choice. It'll hurt less than being chomped on, I guess.","Those thorns look pretty painful... I should try hitting them from a distance. Good thing I have a hammer! Their bites hurt a lot, so we should focus on getting rid of them first."
Rootling,Rootling,"The guardian of the Soul Crown in the Solar Grove, who is the young child of the previous guardian. While it is much weaker than the previous guardian, it is still quite large and powerful. Similar to Leaflings, the Rootling has a large appetite, made even larger by its massive size.<line><line>The Rootling will often dig underground to evade attackers, as well as to prepare for a stronger attack when it emerges.","This is the guardian of the Solar Grove. It doesn't look like you have a way around fighting it... When it hides underground, it's preparing to do a stronger attack, so that is your best time to heal or prepare yourself.","Looks like this is what's guarding the shrine in this place. Doesn't seem like it's that strong though. I can't hit it when it goes underground, so that's a good time to Focus.","Sorry we have to do this, but we really have to get through! When it goes underground, it looks like it's preparing for something big, so I should make sure we're ready for that."
Sunflower,Sunflower,"Sunflowers are stronger versions of Flowerlings that have flaming flowers. Their flowers are very good at absorbing sunlight, and that energy is used to fuel the flame. The flame can burn anyone trying to attack them directly.<line><line>Sunflowers rarely need to hunt for food as most of their energy comes from absorbing the sun's rays, yet they are still quite aggressive regardless. Unlike regular Flowerlings, they can quickly recover from being grounded.","This is a flaming version of normal Flowerlings. You'll get burned if you try to jump on them, so you should find another way to deal with them.<next>They're better at flying than normal Flowerlings, so hitting them down will only ground them until their next turn.","Flying and burning... That's a dangerous combination. If I stomp on them, they will come down, but I'll get burned if I do that.<next>Maybe I should try getting them down a different way...","I already have a hard time with flying things, but now this guy is burning too, so Wilex can't stomp on them without getting hurt. Maybe there's something I can do to get them down..."
Sunnybud,Sunnybud,"A stronger variation of Honeybuds that lives in the deeper parts of the Solar Grove. They are more adept at absorbing sunlight than Honeybuds, which gives them stronger attacks and better healing.<line><line>Their improved healing allows them to stay airborne after healing, and they can also get off the ground and heal on the same turn.","This is a Sunnybud, a stronger version of the Honeybud. They have stronger attacks and stronger healing. Unlike Honeybuds, hitting them down to the ground won't stop them from healing on their turn.","Looks like they can heal every turn, unlike Honeybuds. I can't even stop them from healing since they can get up and heal on the same turn.<next>I better get rid of them first so they stop that.","They really like sharing their honey with everyone. Why don't they share it with us? They can still heal even if they get hit down, so we should focus on them first."
Goldbush,Goldbush,"More aggressive than Brambleling? (lower HP but applies Illuminate to self (Hard mode: this boost move also applies Attack Boost)) (Also gets free regen so the lower hp is compensated by that) (Can roar to boost all allies with attack up 2 for 3 turns, applies Illuminate to self and attack boost in hard mode) (Has a 2 hit bite)","Goldbushes have natural regeneration, so you should focus on them one at a time. They can also boost their own attack and the attack of their allies, so you should take care of them first.","I better get rid of them first, since they'll keep boosting all our enemies attacks. They also have regeneration, so I should focus on them first.","It's pretty shiny but also pretty deadly. They make our enemies stronger, so we should get rid of it first."
MiracleBloom,Miracle Bloom,"The strongest and rarest variation of Honeybuds. They have extremely powerful healing and powerful attacks.<line><line>Like Sunnybuds, Miracle Blooms can heal their allies and still stay in the air, allowing them to heal their allies for multiple turns in a row. They can also get off the ground and heal on the same turn.<line><line>Miracle Blooms are the only source of the rare Miracle Syrup.","Miracle Blooms are the strongest form of Honeybuds. Their attacks are very strong, and they can heal their allies for a lot of HP.",Apparently their honey is really good at healing. Maybe I should take some for myself if I can. I should get rid of them first so they can't use it all up on their allies.,I bet their honey tastes really great. We'll have to focus on them first to get some though.
SunSapling,Sun Sapling,"The older form of the Rootling. At this stage of its life, the Sun Sapling rarely leaves the hole it buried itself in, although it can still leave it in emergencies.<line><line>The Sun Sapling gets most of its energy through absorbing sunlight through its leaves. This energy allows them to regenerate rapidly, and it can also share its energy with others to boost their power.<line><line>The Sun Sapling will also call forth other sun powered creatures to protect itself as well.","This is what the Rootling will grow up to be. Its leaves let it regenerate quickly and allows it to boost itself and its allies. It will keep calling allies as long as it's still alive.<next>If you're having trouble keeping up with doing more damage than it regenerates, then you chould try charging up to do all the damage you need to do as fast as possible.","It regenerates pretty fast and it keeps calling allies for help...Oh great. I should focus on doing damage faster than it can regenerate, or else we won't be getting anywhere.<next>One of the things it summons can heal it though, so I should get rid of them too.","Wow, it's so big! It looks like it can regenerate pretty fast and summon some friends every so often. Everything it summons is flying, so Wilex should handle them.<next>Then I should focus on making sure we do damage faster than it can heal itself, but I might need Wilex's help for that too."
Rockling,Rockling,"This is a rocky variant of the Leafling. Instead of being covered in leaves, this variant is covered with a rocky shell that gives them higher defense yet lower health. Outside of that, they are quite similar to regular Leaflings, as they still tend to bite anything that comes near them.","Rocklings are a version of Leaflings with a rocky shell instead of leaves covering them. The rock armor gives them some defense, but other than that they are the same as Leaflings.",Stomping won't do much against that rocky shell of theirs. I think slashing will still work though. Maybe I can try Focusing if that still isn't enough.,"It's covered in rocks, so stomping on it won't work. This looks like a job for my Hammer. Maybe I'll have to Power Smash if my hammer isn't doing enough."
Honeybud,Honeybud,"A variation of Flowerlings native to the Verdant Forest. The flower on its head produces honey, which it can use to heal its allies.<line><line>Healing allies is a strenuous process, which renders them grounded for a short time. They are also incapable of healing from the ground.<line><line>Unlike Flowerings, they can quickly get up off the ground on their turn. The honey can also be extracted to use as a food source.","Honeybuds can fly and heal their allies using the flower on their head. Like with Flowerlings, you can hit them to make them fall down, but they can fly back up on their turn.<next>When they're in the air, they can heal their allies with honey, but they fall down after healing.","It's a flying healer, so I better focus on it first. They can't heal from the ground, so I should keep them down.<next>Sharing their honey will make them fall down, but they can get back up again pretty quickly.","The honey they make seems tasty, but they only share it with their own allies, so I should probably stop that.<next>There's not a lot I can do while they're flying, but they fall down every time they heal. Then it's my time to strike!"
BurrowTrap,Burrow Trap,"Burrow Traps are carnivorous plants that can burrow down and come up in different places. They often try to take their prey by surprise, by emerging right next to them. Pollen from their bites makes their prey dizzy, making it harder for them to escape or fight back.<line><line>If they are attacked, they will retaliate with an attack stronger and faster than normal. Killing them won't stop them from countering, as they will get one last hit before dying.","Burrow Traps attack by biting you and covering you in pollen. The pollen makes you Dizzy for a short time, so you probably want to take care of them first if you aren't good at blocking.<next>However, they will retaliate whenever you hit them, so you should try to use your strongest attacks on them to get rid of them more quickly. They will always be able to make at least one counter attack though, no matter how hard you hit them.","They really want to get their pollen in our eyes, and they also counter when they get hit, so I should hit them as hard as I can. But even if I do that, they'll still get one more counter in before they die.","Yuck! They really like getting their pollen everywhere! That pollen makes it hard for us to see, and they will also fight back when we hit them. Let's give them everything we got!"
Sundew,Sundew,"Sundews are strange plants that produce sticky poison droplets on the ends of their tentacles. They will lob these droplets at anyone who gets near them.<line><line>Attacking them will also cause them to retaliate, so care must be taken when trying to remove them. Killing them won't stop them from fighting back, as they will get one last attack in.","Sundews attack by fling sticky droplets towards you. Those droplets inflict Poison, so you should try your best to avoid them.<next>Attacking them will make them retaliate, so you should try to use your strongest attacks on them to get rid of them more quickly. They will always be able to make at least one counter attack though, no matter how hard you hit them.","I better avoid those poison droplets they keep throwing around. They strike back when they get hurt, so I should hit them as hard as I can. But even if I kill them in one hit, they still get one last counter attack.","I really don't want that poison in my fur, so I should try avoiding their attacks. They fight back when they get hit though, so I should hit them as hard as possible."
Leafswimmer,Leafswimmer,Leafswimmers attack with Light attacks and they can use Astral Wall on themselves. ,Leafswimmers attack with Light attacks and they can use Astral Wall on themselves. It may be better to leave them for last as it can be difficult to get through it.,"It can shield itself, so I should get rid of them before they can do that. Dark attacks are stronger against them, so those are my best plan.","I can't use Earth or Light damage on them, but Dark damage is their weakness so I should use that."
Brambleling,Brambleling,"Bulky, healthy versions of normal Leaflings. They can soften their leaves to slow down damage dealt to them. They can also roar to boost the defense of all their allies.",Bramblelings are bulky versions of Leaflings. They can soften their leafy shell while boosting the defense of everyone.,"They can boost our allies defense, so we should get rid of them first. They can soften their leaves to make that annoying though.","It's covered in fluffy leaves, and they can soften themselves while making all their friends more defensive."
GiantVine,Giant Vine,"A massive vine summoned by the Master of Autumn. The powerful earth magic coursing through it gives it massive strength, allowing it to pick up and restrain those that would harm the Master. However, it always takes some preparation for it to grab someone, meaning that there is always an opportunity to prevent someone from being grabbed. If someone is grabbed by the vine, they will be restrained until the vine is destroyed or the person dies.","This large vine can slam into you but it can also grab you after a short time. The vine seems to have a short delay before trying to grab someone, so that's when you should really focus your attention on them.","It's definitely looking at me funny, even though it doesn't even have eyes. I better cut it down before it tries anything. Luna better get me out if I get grabbed by this thing...","That's one big vine! It looks like it's strong enough to pick us up, so we should get rid of it before it can do that. Hopefully Wilex will save me if I get grabbed."
Solardew,Solardew,Solardews are stronger forms of Sundews. They can heal their allies and Illuminate them. Their counter attack hits twice with Light and Earth element.,Solardews can toss Light balls and counter with a 2 hit attack. They can also heal and Illuminate their allies.,They toss Light balls at us and counter with a 2 hit attack. They can also heal and Illuminate their allies.,They toss Light balls at us and counter with a 2 hit attack. They can also heal and Illuminate their allies.
VinePlatform,Vine Platform,"A stiff bundle of vines sturdy enough to stand on, an example of Sycamore's plant manipulation powers. While the vines can't attack on their own, they help Sycamore use stronger abilities than he would have on the ground.","It's a platform made from magical vines. It can't do much of anything on its own, but you should still bring it down since Sycamore is stronger while standing on it.","It's just a platform, so it can't really do much. Sycamore is stronger on top of it, so I better cut it down soon.","The platform can't do much on its own, but breaking it will make Sycamore fall down. I can't reach him when he's high up so I'll have to break the platform."
Sycamore,Sycamore,"Sycamore is a man of principle, with deep reverence for the messages the forest sends him. If the forest tells him to tear down a settlement, he will do that without hesitation.<line><line>His family naturally has plant related magic, and so they naturally have leadership over those aligned with the Stonewood Temple.","This is Sycamore, one of the leaders of Stonewood Temple. He has the power to manipulate plants to attack. Once he is hurt enough, he will summon some plant allies to help him and he will stand on a raised vine platform.<next>You should try to get him down if you can, since he has stronger attacks while on that platform.","He must've gone crazy, thinking the plants are talking to him. Either that, or he's just making that up for an excuse to do whatever he wants. Anyway, he has plant magic which lets him attack us with plants or summon plants to fight for him.<next>When he gets hurt enough, he'll get up onto a vine platform that we'll need to cut down.",LunaDefault_Sycamore
VineThrone,Vine Throne,"A massive vine throne summoned by the Master of Autumn. The vines on top form a protective shell around the one on the throne, making it impossible to target the one inside without destroying the throne first.","The Vine Throne protects the Master of Autumn from all attacks. You will need to destroy it to get to him. However, you shouldn't ignore the Giant Vines since they can grab you and take you out of the fight.",Nothing can get to the Master of Autumn while this Throne is around. I'll have to cut it down fast. But I should make sure the Giant Vines don't grab me before I can destroy it...,"The Throne keeps the Master of Autumn safe from all attacks, so we need to get rid of it to get to him. But those Giant Vines are also pretty dangerous, so I'll have to get rid of them too."
MasterOfAutumn,Master of Autumn,"Where spring is seen as a season of growth and beginnings, autumn is seen as a season of death and endings. Sycamore's responsibilities are a reflection of that, as he is the one who ensures that the plants and animals of the forest do not die unnecessarily, being the one who fights those who would defile the forest.<line><line> His plant manipulation power has become much stronger, allowing him to summon massive vines in order to attack and trap anyone who would attack him. The throne he summons will fully protect him from any harm, and also give him access to stronger attacks.","This is a form of Sycamore empowered by the magic of the seasons. It looks like he can summon much stronger vines to defend himself, being able to summon Giant Vines and a Vine Throne.<next>Like his original form, he is much stronger while on the Vine Throne, so make sure you destroy the throne as fast as you can.<next>However, the Giant Vines can grab you and take you out of the fight, so you will need to destroy them quickly as well.","This guy can summon vines like last time, but they're a lot bigger now. The platform he makes will make him impossible to attack, so I better cut that down when he summons it. But I should also pay attention to the giant vines he summons too, since those can pick us up.",LunaDefault_Harvestborn
Bandit,Bandit,"These frogs have large ears, allowing them to notice potential targets from further away. Regular bandits like these use short swords as their signature weapon, and they often try to catch their targets off guard with a feint before they strike. Bandits have a strong sense of comradery, always looking out for each other, making sure their spoils are divided fairly.","I've had a few too many encounters with these bandits. They roam the desert preying upon anyone who isn't one of them. Make sure you pay attention to their attacks, since they may try to fake you out.","They picked the wrong guy to mess with. They can do a fake out with their swords, so I should watch out for that.","We're not gonna let them get a hand on our stuff! Their swords are pretty hard to keep track of, so I gotta pay close attention to them."
Renegade,Renegade,"Spiky frogs usually become outcasts due to their threatening appearance. Pointy spines all over their back and head make it dangerous to get too close to them, while also giving them some defense. They also have sharp claws for attacking, and they can sometimes use a two hit attack.<line><line>Most spiky frogs tend not to wear much clothing, since most clothing would be torn up by the spines on their back.","Renegades have higher health and defense than normal frogs thanks to their spiky backs. Those spikes make them dangerous to stomp on, so you should hit them from a distance.<next>They can attack by slashing with their claws, sometimes hitting twice instead of once.","All those spikes give them some defense, so I might need to Focus to get through that. They can do a double slash with their claws, so I should block that if I can.","Those spikes are pretty menacing, so I should use my hammer on them. I might need to do some Power Smashes since their defense is pretty high."
