File version: 1,Name,Article,Fluff text,Effect text,Clarification Text,Warning Text
Carrot,Carrot,a,"A nice, crunchy carrot.",Restores 6 hp to one ally.,,
BerrySyrup,Berry Syrup,some,Sugary syrup made from different types of berries.,Restores 6 ep to one ally.,,
SourBerry,Sour Berry,a,The sourness makes you stronger.,Gives an ally Attack Up 1 for 3 turns.,,
SweetBerry,Sweet Berry,a,A sweet berry that makes you more protected.,Gives an ally Defense Up 1 for 3 turns.,,
LightSeed,Light Seed,a,A bright seed that can be thrown at enemies.,Deals 3 Light damage to any enemy.,"<commontext,explainlight>",
MiracleDrop,Miracle Drop,a,A small drop that is still enough to revive you.,Restores 5 hp to one ally. Can be used on dead allies.,,
Mistake,Mistake,a,A lesson on why you should be careful when cooking…,"Restores 1 hp and 1 ep to one ally, but also gives them 3 turns of poison.",,
BigMistake,Big Mistake,a,"At this point, it isn't really ""food"" anymore…","Reduces one ally's HP and EP by 10, and gives them 5 turns of poison.",,
CarrotSalad,Carrot Salad,a,A healthy salad made from diced carrots.,Restores 9 hp to one ally.,,
BerryCandy,Berry Candy,a,Sweet candy that makes it easier to move.,"Restores 9 ep to one ally. If you reach max EP with this, you get Endurance Up 1 for 2 turns.",,
BerryCarrot,Berry Carrot,a,A carrot covered in Berry Syrup.,Restores 6 hp and 6 ep to one ally.,,
RoastedNut,Roasted Nut,a,A roasted nut that energizes you.,Restores 10 ep to one ally.,,
SourJam,Sour Jam,a,An attack boosting jam made from Sour Berries.,Gives an ally Attack Up 3 for 1 turn.,"Generally, you have to use this on the other character to actually get the benefit of this attack boost.",
SweetNut,Sweet Nut,a,"A sweet, nutty treat that boosts your defense for a very short time.",Gives an ally Defense Up 3 for 1 turn.,,
PowerJam,Power Jam,some,A power increasing jam created from a mixture of berries.,Gives an ally Attack Up 1 and Defense Up 1 for 2 turns.,,
BronzeCarrot,Bronze Carrot,a,"A shiny, healthy carrot.",Restores 12 hp to one ally.,,
FlowerSyrup,Flower Syrup,some,Sugary syrup made from flower nectar.,Restores 12 ep to one ally.,,
Apple,Apple,an,A tangy apple that makes it easier to move.,"Restores 3 hp and 2 ep to one ally, and gives them Endurance Up 1 for 2 turns.",,
BitterBean,Bitter Bean,a,So bitter it makes you dizzy! Makes you move faster though.,"Gives an ally Dizzy for 2 turns, and Hustle for 1 turn.",,
RockNut,Rock Nut,a,This nut is too hard to eat. You're better off throwing it away…,"Deals 4 Earth damage to any target, and inflicts Dizzy for 2 turns.","<commontext,explainearth>",
LivelyLeaf,Lively Leaf,a,Life giving leaves that are common in the Verdant Forests.,Restores 5 ep and gives an ally 3 absorb and 3 stamina.,,
ClearStrawberry,Clear Strawberry,a,A very juicy strawberry.,"Cures negative effects on one ally. For each effect removed, ally gets 3 burst.",,
BronzeSalad,Bronze Salad,a,A healthy salad made from diced Bronze Carrots.,Restores 18 hp to one ally.,,
FlowerCandy,Flower Candy,a,Sweet candy that can boost your stamina.,Restores 18 ep to one ally. Surplus EP becomes X stamina where X = surplus / 2 rounded up.,,
BerryBronze,Berry Bronze,a,A Bronze Carrot covered in Berry Syrup.,Restores 12 hp and 6 ep to one ally.,,
FlowerCarrot,Flower Carrot,a,A carrot covered in Flower Syrup.,Restores 6 hp and 12 ep to one ally.,,
FlowerBronze,Flower Bronze,a,A Bronze Carrot covered in Flower Syrup.,Restores 12 hp and 12 ep to one ally.,,
BitterCoffee,Bitter Coffee,a,"Brewing the bean made it even more bitter, but now it will make you move faster and hit harder.","Gives an ally Dizzy for 2 turns, 1 focus, and Hustle for 1 turn.",,
